RptDt;TckrSymb;Asst;AsstDesc;SgmtNm;MktNm;SctyCtgyNm;XprtnDt;XprtnCd;TradgStartDt;TradgEndDt;BaseCd;ConvsCritNm;MtrtyDtTrgtPt;ReqrdConvsInd;ISIN;CFICd;DlvryNtceStartDt;DlvryNtceEndDt;OptnTp;CtrctMltplr;AsstQtnQty;AllcnRndLot;TradgCcy;DlvryTpNm;WdrwlDays;WrkgDays;ClnrDays;RlvrBasePricNm;OpngFutrPosDay;SdTpCd1;UndrlygTckrSymb1;SdTpCd2;UndrlygTckrSymb2;PureGoldWght;ExrcPric;OptnStyle;ValTpNm;PrmUpfrntInd;OpngPosLmtDt;DstrbtnId;PricFctr;DaysToSttlm;SrsTpNm;PrtcnFlg;AutomtcExrcInd;SpcfctnCd;CrpnNm;CorpActnStartDt;CtdyTrtmntTpNm;MktCptlstn;CorpGovnLvlNm
2022-06-21;MMCA3;MMCA;MMCA;CASH;EQUITY-CASH;SHARES;;;9999-12-31;9999-12-31;;;;;BRMMCAACNOR1;ESVUFR;;;;;;1;BRL;;;;;;;;;;;;;;;;;100;1000;2;;;;ON *;MAGNETI MARELLI COFAP AUTOPECAS S.A.;9999-12-31;FUNGIBLE;14325722;
2022-06-21;MMCA4;MMCA;MMCA;CASH;EQUITY-CASH;SHARES;;;9999-12-31;9999-12-31;;;;;BRMMCAACNPR8;EPNEFR;;;;;;1;BRL;;;;;;;;;;;;;;;;;100;1000;2;;;;PN *;MAGNETI MARELLI COFAP AUTOPECAS S.A.;9999-12-31;FUNGIBLE;20424806;
2022-06-21;MMCF3;MMCF;MMCF;CASH;EQUITY-CASH;SHARES;;;9999-12-31;9999-12-31;;;;;BRMMCFACNOR0;ESVUFR;;;;;;1;BRL;;;;;;;;;;;;;;;;;100;1000;2;;;;ON *;MAGNETI MARELLI COFAP-CIA FABR PECAS S/A;9999-12-31;FUNGIBLE;14324740;
2022-06-21;MMCF4;MMCF;MMCF;CASH;EQUITY-CASH;SHARES;;;9999-12-31;9999-12-31;;;;;BRMMCFACNPR7;EPNEFR;;;;;;1;BRL;;;;;;;;;;;;;;;;;100;1000;2;;;;PN *;MAGNETI MARELLI COFAP-CIA FABR PECAS S/A;9999-12-31;FUNGIBLE;20439296;
2022-06-21;MMXM11;MMXM;MMXM;CASH;EQUITY-CASH;SHARES;;;2011-05-24;9999-12-31;;;;;BRMMXMTRV000;EMXXXX;;;;;;1;BRL;;;;;;;;;;;;;;;;;100;1;2;;;;TPR     NM;MMX MINERACAO E METALICOS S.A.;9999-12-31;FUNGIBLE;906761881;NOVO MERCADO
2022-06-21;MMXM3;MMXM;MMXM;CASH;EQUITY-CASH;SHARES;;;2016-05-02;9999-12-31;;;;;BRMMXMACNOR2;ESVUFR;;;;;;1;BRL;;;;;;;;;;;;;;;;;112;1;2;;;;ON      NM;MMX MINERACAO E METALICOS S.A.;9999-12-31;FUNGIBLE;6488183;NOVO MERCADO
2022-06-21;MNBI3;MNBI;MNBI;CASH;EQUITY-CASH;SHARES;;;9999-12-31;9999-12-31;;;;;BRMNBIACNOR4;ESVUFR;;;;;;1;BRL;;;;;;;;;;;;;;;;;102;1;2;;;;ON  ES;MLOG S.A.;9999-12-31;FUNGIBLE;3052500;
2022-06-21;MNDL3;MNDL;MNDL;CASH;EQUITY-CASH;SHARES;;;2016-09-30;9999-12-31;;;;;BRMNDLACNOR4;ESVUFR;;;;;;1;BRL;;;;;;;;;;;;;;;;;107;1;2;;;;ON        ;MUNDIAL S.A. - PRODUTOS DE CONSUMO;9999-12-31;FUNGIBLE;2480260;
2022-06-21;MNPR3;MNPR;MNPR;CASH;EQUITY-CASH;SHARES;;;2016-06-06;9999-12-31;;;;;BRMNPRACNOR5;ESVUFR;;;;;;1;BRL;;;;;;;;;;;;;;;;;122;1;2;;;;ON        ;MINUPAR PARTICIPACOES S.A.    ;9999-12-31;FUNGIBLE;7100100;
2022-06-21;MNZC3B;MNZC;MNZC;CASH;EQUITY-CASH;SHARES;;;2020-06-30;9999-12-31;;;;;BRMNZCACNOR6;ESVUFR;;;;;;1;BRL;;;;;;;;;;;;;;;;;227;1;2;;;;ON      MB;TERMINAL GARAGEM MENEZES CORTES S.A.;9999-12-31;FUNGIBLE;526306;MERCADO DE BALC�O
2022-06-21;MOAR3;MOAR;MOAR;CASH;EQUITY-CASH;SHARES;;;2022-05-23;9999-12-31;;;;;BRMOARACNOR5;ESVUFR;;;;;;1;BRL;;;;;;;;;;;;;;;;;223;1;2;;;;ON        ;MONTEIRO ARANHA S.A.          ;9999-12-31;FUNGIBLE;12251221;
